order_month,total_orders,active_customers,new_customers,repeat_customers,revenue,avg_order_value,repeat_orders,repeat_order_share_pct
2016-09-01 00:00:00,4,4,4,0,252.24,63.06,0,0.0
2016-10-01 00:00:00,324,321,321,3,59090.48,182.38,3,0.93
2016-12-01 00:00:00,1,1,1,0,19.62,19.62,0,0.0
2017-01-01 00:00:00,800,765,764,21,138488.04,173.11,29,3.63
2017-02-01 00:00:00,1780,1755,1752,22,291908.01,163.99,25,1.4
2017-03-01 00:00:00,2682,2642,2636,39,449863.6,167.73,40,1.49
2017-04-01 00:00:00,2404,2372,2352,41,417788.03,173.79,46,1.91
2017-05-01 00:00:00,3700,3625,3596,85,592918.82,160.25,87,2.35
2017-06-01 00:00:00,3245,3180,3139,92,511276.38,157.56,97,2.99
2017-07-01 00:00:00,4026,3947,3894,108,592382.92,147.14,114,2.83
2017-08-01 00:00:00,4331,4246,4184,120,674396.32,155.71,127,2.93
2017-09-01 00:00:00,4285,4212,4130,134,727762.45,169.84,139,3.24
2017-10-01 00:00:00,4631,4561,4470,142,779677.88,168.36,149,3.22
2017-11-01 00:00:00,7544,7430,7304,206,1194882.8,158.39,215,2.85
2017-12-01 00:00:00,5673,5603,5487,161,878401.48,154.84,169,2.98
2018-01-01 00:00:00,7269,7166,7025,220,1115004.18,153.39,225,3.1
2018-02-01 00:00:00,6728,6569,6451,236,992463.34,147.51,250,3.72
2018-03-01 00:00:00,7211,7115,6965,218,1159652.12,160.82,225,3.12
2018-04-01 00:00:00,6939,6882,6711,214,1160785.48,167.28,219,3.16
2018-05-01 00:00:00,6873,6814,6622,239,1153982.15,167.9,247,3.59
2018-06-01 00:00:00,6167,6128,5940,210,1023880.5,166.03,215,3.49
2018-07-01 00:00:00,6292,6230,6071,193,1066540.75,169.51,196,3.12
2018-08-01 00:00:00,6512,6460,6271,227,1022425.32,157.01,236,3.62
2018-09-01 00:00:00,16,14,5,9,4439.54,277.47,11,68.75
2018-10-01 00:00:00,4,4,1,3,589.67,147.42,3,75.0
